SongID,Title,Artist,Tags,Cover,Difficulty
807,Zombie,The Cranberries,90s,https://i.scdn.co/image/ab67616d0000b273f9b3ece3271d3a5fa73d3759,
806,Your Cheatin’ Heart,Hank Williams,Country,https://i.scdn.co/image/ab67616d0000b273058ec9749ace1aa96ab57829,
805,You've Lost That Lovin' Feeling,The Righteous Brothers,,https://i.scdn.co/image/ab67616d0000b273b48967029aa8ece08e9afa9a,
804,You've Got To Hide Your Love Away,The Beatles,,https://i.scdn.co/image/ab67616d00001e02e3e3b64cea45265469d4cafa,
803,You're Welcome,Moana,,https://i.scdn.co/image/ab67616d00001e023505183cc0e24d2f7560174a,
802,You're The One That I Want,John Travolta,Showtunes,https://i.scdn.co/image/ab67616d00001e02b68df485f3304211904548a8,
801,You're Still The One,Shania Twain,"Country, 90s",https://i.scdn.co/image/ab67616d00001e02aaf012d56b8c72658da6c45f,
800,You’re a Mean One Mr Grinch,Christmas,,https://is1-ssl.mzstatic.com/image/thumb/Music4/v4/b8/7b/a3/b87ba315-072f-f174-fb82-49fc48735941/886444220668.jpg/600x600bb.jpg,
799,You'll Be Back,Hamilton,Showtunes,https://i.scdn.co/image/ab67616d0000b273d72fb5571087bca0a2fed008,
798,You Were On My Mind,Lucius,,https://i.scdn.co/image/ab67616d0000b27372072ffce9bd372ab74663a2,
