SongID,Title,Artist,Tags,Cover,Difficulty
1,22,Taylor Swift,00s,https://i.scdn.co/image/ab6761610000e5eb859e4c14fa59296c8649e0e4,medium
2,40,U2,80s,https://i.scdn.co/image/ab6761610000e5eb76e8d4043d65d5b90dd620c6,easy
3,1985,Bowling For Soup,2000s,https://i.scdn.co/image/ab6761610000e5eb431720ffc823f2babce011f9,
4,1999,Prince,80s,https://i.scdn.co/image/ab6761610000e5ebeaca358712b3fe4ed9814640,medium
5,1001 (Parking Inspector),The Cat Empire,Aussie,https://i.scdn.co/image/ab6761610000e5eb9b5b159da0137c17be39755d,easy
6,24K Magic,Bruno Mars,00s,https://i.scdn.co/image/ab6761610000e5ebc36dd9eb55fb0db4911f25dd,medium
7,9 to 5,Dolly Parton,"Country, 80s",https://i.scdn.co/image/ab6761610000e5ebd76d342fbed8385e7809ae1f,easy
8,99 Red Balloons,Nena,"80s, 2000s",https://i.scdn.co/image/ab6761610000e5ebb9e71a338c63f78ed071d783,medium
9,A Message,Coldplay,90s,https://i.scdn.co/image/ab6761610000e5eb989ed05e1f0570cc4726c2d3,easy
10,A Thousand Miles,Vanessa Carlton,90s,https://i.scdn.co/image/ab6761610000e5eb9a9873aca07694682036f5b7,medium
11,A Whole New World,Disney (Aladdin),"Duet, 90s",https://i.scdn.co/image/ab6761610000e5ebc698d53b77db34027b00f853,medium
12,About Damn Time,Lizzo,Pop,https://i.scdn.co/image/ab6761610000e5eb0d66b3670294bf801847dae2,medium
13,Adventure of a Lifetime,Coldplay,00s,https://i.scdn.co/image/ab6761610000e5eb989ed05e1f0570cc4726c2d3,easy
14,Africa,Toto,"80s, Bangers",https://i.scdn.co/image/ab6761610000e5eba59a5bcab211f964fe9bfb06,medium
15,Again,Lenny Kravitz,None,https://i.scdn.co/image/ab6761610000e5ebe0cf058473839f1c9f49937e,easy
16,Ain't No Mountain High Enough,Marvin Gaye; Tammy Terrell; Diana Ross,"60s, Duet",https://i.scdn.co/image/85df4af2833ce0f0fa25363c59c07e90a12c78d0,medium
17,Ain't No Sunshine,Bill Withers,70s,https://i.scdn.co/image/96b85aec6907206572527e1eeec6569d5e977a38,easy
18,Ain't Nobody,Chaka Khan,80s,https://i.scdn.co/image/ab6761610000e5eb87b0c6a4811964bd1b7d701f,medium
19,Alabama Pines,Jason Isbell,Country,https://i.scdn.co/image/ab6761610000e5eb0ad790e9900e7a4dc94f6304,medium
20,Alaska,Maggie Rogers,2010s,https://i.scdn.co/image/ab6761610000e5eb2bb7d974821e5448d65842d9,medium
21,Albertine,Brooke Fraser,None,https://i.scdn.co/image/ab6761610000e5ebcd5cfe20d78881dfa658eaee,medium
22,Alexander Hamilton,Hamilton,"Showtunes, 2010s",https://i.scdn.co/image/ab67616d0000b2733743f2dba9dde74bf4338540,hard
23,Alive,Pearl Jam,Rock,https://i.scdn.co/image/ab6761610000e5eb122d1145d880736383742ebc,easy
24,All Along the Watchtower,Bob Dylan,60s,https://i.scdn.co/image/ab6772690000c46cd7064356b04a156664a37c4f,easy
25,All I Want For Christmas Is You,Mariah Carey,Christmas,https://i.scdn.co/image/ab6761610000e5eb21b66418f7f3b86967f85bce,medium
26,All Is Found,Kacey Musgraves,None,https://i.scdn.co/image/ab6761610000e5ebd123e4c884d1a5e2edff1895,easy
27,All My Life,Foo Fighters,Rock,https://i.scdn.co/image/ab6761610000e5ebc884df599abc793c116cdf15,medium
28,All Shook Up,Elvis Presley,50s,https://i.scdn.co/image/ab6761610000e5eb9a93e273380982dff84c0d7c,easy
29,All Star,Smash Mouth,"Pop, Rock, 90s",https://i.scdn.co/image/ab6761610000e5ebd58661b3aa9d077580e8aa4e,easy
30,All The Small Things,Blink 182,00s,https://i.scdn.co/image/ab6761610000e5eb5da36f8b98dd965336a1507a,easy
31,All Too Well,Taylor Swift,2010s,https://i.scdn.co/image/ab6761610000e5eb859e4c14fa59296c8649e0e4,medium
32,All You Need is Love,The Beatles,60s,https://i.scdn.co/image/ab6761610000e5ebe9348cc01ff5d55971b22433,easy
33,All Your Favorite Bands,Dawes,None,https://i.scdn.co/image/ab6761610000e5eb54f0077e9c31fc5b6a813af7,easy
34,Always,Switchfoot,None,https://i.scdn.co/image/ab6761610000e5eb1182ae93b58a17bc688564fb,easy
35,Amazing Grace,John Newton,None,https://i.scdn.co/image/ab67616d0000b2734bb80138b86151a5ccabf33a,easy
36,American Girl,Tom Petty & The Heartbreakers,70s,https://i.scdn.co/image/ab6761610000e5ebfabc6315ae43968729ce9e36,easy
37,American Idiot,Green Day,Rock,https://i.scdn.co/image/ab6761610000e5eb6ff0cd5ef2ecf733804984bb,easy
38,Ana's Song,silverchair,Aussie,https://i.scdn.co/image/b362d7cd057ae8affb562483a0c1780172fba9f2,medium
39,Angel,Sarah McLaughlan,None,https://i.scdn.co/image/ab6761610000e5eb777a0a82c805836ec3546285,medium
40,Angel Eyes,ABBA,70s,https://i.scdn.co/image/ab6761610000e5eb124eba6bf3476404531bd7b2,easy
