SongID,Title,Artist,Tags,Cover,Difficulty
14,Africa,Toto,"80s, Bangers",https://i.scdn.co/image/ab6761610000e5eba59a5bcab211f964fe9bfb06,medium
65,Bat Out Of Hell,Meat Loaf,Bangers,https://i.scdn.co/image/ab6761610000e5ebd80098ab0e9b98ee0bd0795e,hard
87,Bohemian Rhapsody,Queen,Bangers,https://i.scdn.co/image/b040846ceba13c3e9c125d68389491094e7f2982,hard
92,Born to Run,Bruce Springsteen,"Bangers, Jersey",https://i.scdn.co/image/ab6761610000e5ebf7cac48c6b587b927ba73f4e,medium
93,Boy in the Bubble,Paul Simon,Bangers,https://i.scdn.co/image/ab6761610000e5ebddc148cfa465c2065846c636,medium
107,California,Phantom Planet,"2000s, Bangers",https://i.scdn.co/image/ab6761610000e5eb7a0c1e8ecd58c1fdede23a25,easy
123,Chandelier,Sia,"Bangers, Aussie",https://i.scdn.co/image/ab6761610000e5eb25a749000611559f1719cc5f,hard
184,Dreams,The Cranberries,Bangers,https://i.scdn.co/image/143c01f407ed64a4b3bcbc92d24c05ef80981251,
186,Driver's License,Olivia Rodrigo,Bangers,https://i.scdn.co/image/ab6761610000e5ebe03a98785f3658f0b6461ec4,
239,Good 4 U,Olivia Rodrigo,Bangers,https://i.scdn.co/image/ab6761610000e5ebe03a98785f3658f0b6461ec4,
436,Me and Julio Down by the Schoolyard,Paul Simon,Bangers,https://i.scdn.co/image/ab6761610000e5ebddc148cfa465c2065846c636,
491,Part of Your World,Disney (The Little Mermaid),Bangers,https://i.scdn.co/image/ab67616d0000b27350ff984b366cb285a53254f3,
547,Say It Ain't So,Weezer,"Bangers, 90s",https://i.scdn.co/image/ab6761610000e5ebcff30a7278638dfd7e2726a9,
580,Since U Been Gone,Kelly Clarkson,"Pop, Banger",https://i.scdn.co/image/ab6761610000e5eb305a7cc6760b53a67aaae19d,
589,Somebody to Love,Queen,Banger,https://i.scdn.co/image/b040846ceba13c3e9c125d68389491094e7f2982,
617,Straight Lines,silverchair,Aussie / Bangers,https://i.scdn.co/image/b362d7cd057ae8affb562483a0c1780172fba9f2,
659,The Pretender,Foo Fighters,"Rock, Bangers",https://i.scdn.co/image/ab6761610000e5ebc884df599abc793c116cdf15,
690,Tiny Dancer,Elton John,Bangers,https://i.scdn.co/image/ab6761610000e5eb0a7388b95df960b5c0da8970,
691,Titanium,Sia,"Aussie, Bangers",https://i.scdn.co/image/ab6761610000e5eb25a749000611559f1719cc5f,
704,Truth Hurts,Lizzo,"Pop, Banger",https://i.scdn.co/image/ab6761610000e5eb0d66b3670294bf801847dae2,
720,Viva La Vida,Coldplay,Bangers,https://i.scdn.co/image/ab6761610000e5eb989ed05e1f0570cc4726c2d3,
757,What's Up?,4 Non Blondes,"Bangers, 90s",https://i.scdn.co/image/3cd1494789e29fbc85793f633def0ff7915c5872,
