SongID,Title,Artist,Tags,Cover,Difficulty
25,All I Want For Christmas Is You,Mariah Carey,Christmas,https://i.scdn.co/image/ab6761610000e5eb21b66418f7f3b86967f85bce,medium
42,Angels We Have Heard on High,Christmas,,https://i.scdn.co/image/ab67616d0000b273dcc015504df41d1ef97092d0,easy
53,Away in a Manger,Christmas,,https://i.scdn.co/image/ab67616d0000b273dcc015504df41d1ef97092d0,easy
116,Canticle of the Turning,Christmas,,https://i.scdn.co/image/ab67616d0000b273dcc015504df41d1ef97092d0,easy
155,Deck the Halls,Christmas,,https://i.scdn.co/image/ab67616d0000b273dcc015504df41d1ef97092d0,
236,Go Tell It On the Mountain,Christmas,,https://i.scdn.co/image/ab67616d0000b273dcc015504df41d1ef97092d0,
261,Hark! The Herald Angels Sing!,Christmas,,https://i.scdn.co/image/ab67616d0000b273dcc015504df41d1ef97092d0,
263,Have Yourself a Merry Little Christmas,Christmas,,https://i.scdn.co/image/ab67616d0000b273dcc015504df41d1ef97092d0,
360,It's the Most Wonderful Time of the Year,Christmas,,https://i.scdn.co/image/ab67616d0000b273dcc015504df41d1ef97092d0,
365,Jingle Bell Rock,"Bobby Helms, Christmas",,https://i.scdn.co/image/ab6761610000e5ebbec4ae689dc30a2b59a19038,
366,Jingle Bells,Christmas,,https://i.scdn.co/image/ab67616d0000b273dcc015504df41d1ef97092d0,
394,Let It Snow,Christmas,,https://i.scdn.co/image/ab67616d0000b273dcc015504df41d1ef97092d0,
473,"O Come, All Ye Faithful",Christmas,,https://i.scdn.co/image/ab67616d0000b273dcc015504df41d1ef97092d0,
474,O Holy Night,Christmas,,https://i.scdn.co/image/ab67616d0000b273dcc015504df41d1ef97092d0,
533,Rocking Around the Christmas Tree,Christmas,,https://i.scdn.co/image/ab67616d0000b273dcc015504df41d1ef97092d0,
543,Santa Claus is Coming To Town,Christmas,,https://i.scdn.co/image/ab67616d0000b273dcc015504df41d1ef97092d0,
576,Silent Night,Christmas,,https://i.scdn.co/image/ab67616d0000b273dcc015504df41d1ef97092d0,
578,Silver Bells,Dean Martin,Christmas,https://i.scdn.co/image/ab6761610000e5eb2a2fd1f3d90c5996daa0b12d,
673,This Christmas,Donny Hathaway,Christmas; 70s,https://i.scdn.co/image/2c9a122b0f6a1c6f083b1725f309d3a25636f4ae,
748,We Wish You a Merry Christmas,Christmas,,https://i.scdn.co/image/ab67616d0000b273dcc015504df41d1ef97092d0,
773,Winter Wonderland,Christmas,,https://i.scdn.co/image/ab67616d0000b273dcc015504df41d1ef97092d0,
800,You’re a Mean One Mr Grinch,Christmas,,https://i.scdn.co/image/ab67616d0000b273dcc015504df41d1ef97092d0,
