SongID,Title,Artist,Tags,Cover,Difficulty
11,A Whole New World,Disney (Aladdin),"Duet, 90s",https://i.scdn.co/image/ab6761610000e5ebc698d53b77db34027b00f853,medium
67,Be Prepared,Disney (The Lion King),Duet,https://i.scdn.co/image/ab6761610000e5ebc698d53b77db34027b00f853,easy
111,Can You Feel the Love Tonight,Disney (The Lion King),Duet,https://i.scdn.co/image/ab6761610000e5ebc698d53b77db34027b00f853,medium
125,Chim Chim Cher-ee,Disney; Mary Poppins,Showtunes,https://i.scdn.co/image/ab6761610000e5ebc698d53b77db34027b00f853,medium
131,Colors of the Wind,Disney,,https://i.scdn.co/image/ab6761610000e5ebc698d53b77db34027b00f853,
230,Frozen Heart,Disney,,https://i.scdn.co/image/ab6761610000e5ebc698d53b77db34027b00f853,
253,Hakuna Matata,Disney (The Lion King),Duet,https://i.scdn.co/image/ab6761610000e5ebc698d53b77db34027b00f853,
292,How Far I'll Go,Disney (Moana),,https://i.scdn.co/image/b7cb8a2d95ba2ca94fc0e133611b5b680014c52e,
309,I Just Can't Wait To Be King,Disney (The Lion King),Duet,https://i.scdn.co/image/ab6761610000e5ebc698d53b77db34027b00f853,
328,I'll Make a Man Out of you,Disney,90s,https://i.scdn.co/image/ab6761610000e5ebc698d53b77db34027b00f853,
352,Into the Unknown,Disney (Frozen 2),,https://i.scdn.co/image/ab6761610000e5ebc698d53b77db34027b00f853,
392,Let It Go,Disney (Frozen),,https://i.scdn.co/image/ab67616d0000b2732be1e0a785cbe6af4fd757dc,
414,Lost In The Woods,Disney (Frozen 2),,https://i.scdn.co/image/ab6761610000e5ebc698d53b77db34027b00f853,
491,Part of Your World,Disney (The Little Mermaid),Bangers,https://i.scdn.co/image/ab67616d0000b27350ff984b366cb285a53254f3,
563,Shiny,Disney (Moana),,https://i.scdn.co/image/b7cb8a2d95ba2ca94fc0e133611b5b680014c52e,
570,Show Yourself,Disney (Frozen 2),,https://i.scdn.co/image/ab6761610000e5ebc698d53b77db34027b00f853,
603,Spoonful of Sugar,Disney (Mary Poppins),,https://i.scdn.co/image/ab6761610000e5ebc698d53b77db34027b00f853,medium
630,Supercalifragilisticexpialidocious,Disney (Mary Poppins),Showtunes,https://i.scdn.co/image/ab6761610000e5ebc698d53b77db34027b00f853,hard
631,Surface Pressure,Disney,,https://i.scdn.co/image/ab6761610000e5ebc698d53b77db34027b00f853,
657,The Next Right Thing,Disney (Frozen 2),,https://i.scdn.co/image/ab6761610000e5ebc698d53b77db34027b00f853,medium
711,Under the Sea,Disney,Showtunes,https://i.scdn.co/image/ab6761610000e5ebc698d53b77db34027b00f853,
746,We Don't Talk About Bruno,Disney,,https://i.scdn.co/image/ab6761610000e5ebc698d53b77db34027b00f853,
759,When Will My Life Begin?,Disney (Tangled),2000s,https://i.scdn.co/image/ab67616d0000b273bc048f1e80ff78101edc3b02,
803,You're Welcome,Moana; Disney,Disney,https://i.scdn.co/image/ab67616d0000b27305be55161538b2aac1a33cb0,
