SongID,Title,Artist,Tags,Cover,Difficulty
11,A Whole New World,Disney (Aladdin),"Duet, 90s",https://i.scdn.co/image/ab6761610000e5ebc698d53b77db34027b00f853,medium
16,Ain't No Mountain High Enough,Marvin Gaye; Tammy Terrell; Diana Ross,"60s, Duet",https://i.scdn.co/image/85df4af2833ce0f0fa25363c59c07e90a12c78d0,medium
67,Be Prepared,Disney (The Lion King),Duet,No Image Available,easy
111,Can You Feel the Love Tonight,Disney (The Lion King),Duet,https://i.scdn.co/image/ab6761610000e5ebc698d53b77db34027b00f853,medium
154,Dear Theodosia,Hamilton,"Duet, Showtunes",https://i.scdn.co/image/ab67616d0000b2733743f2dba9dde74bf4338540,
201,Falling Slowly,Glen Hansard and Markéta Irglová,Duet,https://i.scdn.co/image/ab67616d0000b273b5cc43004e5707b613bbb6ce,
253,Hakuna Matata,Disney (The Lion King),Duet,https://i.scdn.co/image/ab6761610000e5ebc698d53b77db34027b00f853,
306,I Got You Babe,Sonny & Cher,"Duet,60s",https://i.scdn.co/image/ad4df17118081886d4b98d847f8e6a4ae3d23417,
309,I Just Can't Wait To Be King,Disney (The Lion King),Duet,https://i.scdn.co/image/ab6761610000e5ebc698d53b77db34027b00f853,
346,In Spite of Ourselves,John Prine,Duet,https://i.scdn.co/image/ab6761610000e5eb9a2b5dddb0fde64eac2ee690,
429,Mamma Mia,ABBA,Duet,https://i.scdn.co/image/ab6761610000e5eb124eba6bf3476404531bd7b2,
448,More Than Words,Extreme,"Duet, 90s",https://i.scdn.co/image/ab6761610000e5eba2816ccc399c2c820c3d0bb6,
485,Only Us,Dear Evan Hansen,"Duet, Showtunes",https://i.scdn.co/image/ab6761610000e5eb6402aed1d2a7460732d14f86,
519,Rewrite the Stars,The Greatest Showman,"Duet, Showtunes",https://i.scdn.co/image/ab67616d0000b273b33c769adce9e164764a7ca0,
554,Shallow,Lady Gaga,Duet,https://i.scdn.co/image/ab6761610000e5ebc8d3d98a1bccbe71393dbfbf,
588,Somebody That I Used To Know,Gotye,"Aussie, Duet",https://i.scdn.co/image/713664fded8bdd28ed84f4b2054815af92999b9c,
594,Something Stupid,Frank Sinatra,"Duet, 60s",https://i.scdn.co/image/fc4e0f474fb4c4cb83617aa884dc9fd9822d4411,
686,Time of My Life (from Dirty Dancing),Bill Medley and Jennifer Warnes,Duet,https://i.discogs.com/hkmbUOMKTZZZfqY_hCoaSGKH8KUOn5FoZaptAW4IEuU/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTExNDE3/MTItMTMyMTQ4NjY2/MS5qcGVn.jpeg,medium
