SongID,Title,Artist,Tags,Cover,Difficulty
807,Zombie,The Cranberries,90s,https://i.scdn.co/image/143c01f407ed64a4b3bcbc92d24c05ef80981251,
806,Your Cheatin’ Heart,Hank Williams,Country,https://i.scdn.co/image/ab6761610000e5ebf2335981837c8ac955769cd0,
805,You've Lost That Lovin' Feeling,The Righteous Brothers,,https://i.scdn.co/image/21584a935b760f20b4b08f7f9ddd012c12437798,
804,You've Got To Hide Your Love Away,The Beatles,,https://i.scdn.co/image/ab6761610000e5ebe9348cc01ff5d55971b22433,
803,You're Welcome,Moana,,https://i.scdn.co/image/ab67616d0000b27305be55161538b2aac1a33cb0,
802,You're The One That I Want,John Travolta,Showtunes,https://i.scdn.co/image/05b40ccc7a84868fe05d774aac684c24565cec7d,
801,You're Still The One,Shania Twain,"Country, 90s",https://i.scdn.co/image/ab6761610000e5eb01022f4092cb96e0a91811a5,
800,You’re a Mean One Mr Grinch,Christmas,,https://i.scdn.co/image/ab67616d0000b273dcc015504df41d1ef97092d0,
799,You'll Be Back,Hamilton,Showtunes,https://i.scdn.co/image/ab67616d0000b2733743f2dba9dde74bf4338540,
798,You Were On My Mind,Lucius,,https://i.scdn.co/image/ab6761610000e5ebbc37158b587a32f4fcc389b6,
