SongID,Title,Artist,Tags,Cover,Difficulty
22,Alexander Hamilton,Hamilton,"Showtunes, 2010s",https://i.scdn.co/image/ab67616d0000b2733743f2dba9dde74bf4338540,hard
101,Burn,Hamilton,Showtunes,https://i.scdn.co/image/ab67616d0000b2733743f2dba9dde74bf4338540,medium
105,Cabaret,Liza Minelli,Showtunes,https://i.scdn.co/image/ab6761610000e5eb30ef5d9572b2c36b03d074e0,medium
125,Chim Chim Cher-ee,Disney; Mary Poppins,Showtunes,https://i.scdn.co/image/ab6761610000e5ebc698d53b77db34027b00f853,medium
154,Dear Theodosia,Hamilton,"Duet, Showtunes",https://i.scdn.co/image/ab67616d0000b2733743f2dba9dde74bf4338540,
163,Do You Hear the People Sing,Les Misérables,Showtunes,https://i.scdn.co/image/ab67616d0000b273170e79548d280867ef12742b,
252,Guns and Ships,Hamilton,Showtunes,https://i.scdn.co/image/ab67616d0000b2733743f2dba9dde74bf4338540,
271,Helpless,Hamilton,Showtunes,https://i.scdn.co/image/ab67616d0000b2733743f2dba9dde74bf4338540,
303,I Dreamed A Dream,Les Misérables,Showtunes,https://i.scdn.co/image/ab67616d0000b273170e79548d280867ef12742b,
479,On My Own,Les Misérables,Showtunes,https://i.scdn.co/image/ab67616d0000b273170e79548d280867ef12742b,
485,Only Us,Dear Evan Hansen,"Duet, Showtunes",https://i.scdn.co/image/ab6761610000e5eb6402aed1d2a7460732d14f86,
506,Pure Imagination,Gene Wilder,Showtunes,https://media.tegna-media.com/assets/WBNS/images/3246a38a-ae84-4bd7-8447-9e0b91f209e5/3246a38a-ae84-4bd7-8447-9e0b91f209e5_750x422.jpg,medium
519,Rewrite the Stars,The Greatest Showman,"Duet, Showtunes",https://i.scdn.co/image/ab67616d0000b273b33c769adce9e164764a7ca0,
549,Seasons of Love,Rent,Showtunes,https://i.scdn.co/image/ab67616d0000b2739dfa274360db6856b816acac,
630,Supercalifragilisticexpialidocious,Disney (Mary Poppins),Showtunes,https://i.scdn.co/image/ab6761610000e5ebc698d53b77db34027b00f853,hard
674,This is Me,The Greatest Showman,"Group, Showtunes",https://i.scdn.co/image/ab67616d0000b273b33c769adce9e164764a7ca0,
688,Time Warp,The Rocky Horror Picture Show,"Showtunes, 80s, Halloween",https://i.discogs.com/Y6SrTvBrQIqecFKLW806_6gjDeiCuC5xWolOcrcknTw/rs:fit/g:sm/q:90/h:470/w:470/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM2ODcy/NTgtMTM0MDQ1MTY4/NC0xNzI4LmpwZWc.jpeg,medium
711,Under the Sea,Disney,Showtunes,https://i.scdn.co/image/ab6761610000e5ebc698d53b77db34027b00f853,
722,Wait For It,Hamilton,Showtunes,https://i.scdn.co/image/ab67616d0000b2733743f2dba9dde74bf4338540,
742,Waving Through A Window,Dear Evan Hansen,Showtunes,https://i.scdn.co/image/ab6761610000e5eb6402aed1d2a7460732d14f86,
799,You'll Be Back,Hamilton,Showtunes,https://i.scdn.co/image/ab67616d0000b2733743f2dba9dde74bf4338540,
802,You're The One That I Want,John Travolta,Showtunes,https://i.scdn.co/image/05b40ccc7a84868fe05d774aac684c24565cec7d,
